1.237403512001037598e+00 1.303068161010742188e+00 -5.783389806747436523e-01
7.744067519636624319e-02 8.575946831862096831e-02 8.013816880358219652e-02
7.724415914984485154e-02 7.118273996694524097e-02 8.229470565333280030e-02
7.187936056313462552e-02 9.458865003910399416e-02 9.818313802505146404e-02
6.917207594128889359e-02 8.958625190413323225e-02 7.644474598764522399e-02
7.840222805469662659e-02 9.627983191463306001e-02 5.355180290989434988e-02
5.435646498507704094e-02 5.101091987201628736e-02 9.163099227739690544e-02
8.890783754749252699e-02 9.350060741234096640e-02 9.893091711163820579e-02
8.995792821083618829e-02 7.307396811264660341e-02 8.902645881432277863e-02
5.591372129344666236e-02 8.199605106637619656e-02 5.716766437045232158e-02
9.723344585247920002e-02 7.609241608750358377e-02 7.073309699952617935e-02
