-0.62  -2.02
-0.7  0.66
-0.85  0.08
-0.27  -0.87
0.67  1.15
0.12  0.59
-1.24  -0.12
-1.49  -0.37
-1.52  0.56
-2.03  -0.6
1.17  1.99
-2.12  -1.12
-0.18  -0.1
-0.26  -0.76
0.27  0.52
3.58  -0.5
4.77  0.52
4.76  -0.52
4.75  -0.78
4.68  0.54
4.01  -0.78
4.74  0.86
2.97  1.43
4.08  0.05
4.06  -0.52
4.08  -0.39
4.06  -1.01
7.65  2.6
9.78  0.72
9.  1.86
5.53  -0.93
6.01  -0.3
11.68  0.4
12.23  0.47
11.4  0.33
12.05  0.74
11.21  -0.06
12.1  -0.99
11.83  0.05
13.12  0.11
11.38  0.85
12.47  0.58
10.98  -1.07
12.54  -0.43
12.33  -0.26
15.34  0.32
16.24  -0.89
15.95  -1.09
15.68  -1.85
15.79  -0.05
16.19  0.12
15.78  -0.66
18.94  -0.28
20.41  -0.67
20.67  0.25
19.91  -0.74
20.84  0.16
19.56  -0.61
22.98  1.34
24.61  0.85
22.77  0.56
23.7  -1.49
24.43  0.13
24.15  -1.53
22.19  0.17
22.55  0.11
23.84  0.18
24.65  -0.36
28.38  -0.87
27.65  -0.14
27.92  -0.04
28.39  -0.76
28.26  0.29
28.33  -0.75
27.97  0.31
27.36  -0.84
29.72  -0.5
27.52  -0.33
28.9  0.16
28.62  -0.72
27.48  0.81
32.32  0.27
32.77  0.21
32.61  -0.41
32.34  2.04
30.01  0.98
36.89  0.
37.18  2.67
34.85  1.18
38.62  -0.63
35.3  0.62
33.16  0.86
36.72  0.14
36.87  -0.02
36.89  0.23
37.01  -0.33
35.32  0.94
