Numero di misure: 342

Misura #1
	Istante della misura: 92
	Coord (x, y, z): (0.591784, 0.389063, 0.70599)
	Energia Cinetica: 33.4755
	Massa: 0
Misura #2
	Istante della misura: 280
	Coord (x, y, z): (0.170206, 0.984533, 0.0415216)
	Energia Cinetica: 33.7762
	Massa: 0
Misura #3
	Istante della misura: 132
	Coord (x, y, z): (0.953417, 0.118184, 0.27754)
	Energia Cinetica: 40.2231
	Massa: 0
Misura #4
	Istante della misura: 279
	Coord (x, y, z): (0.127423, 0.584275, 0.80149)
	Energia Cinetica: 40.5432
	Massa: 0
Misura #5
	Istante della misura: 6
	Coord (x, y, z): (0.77111, 0.0717733, 0.632644)
	Energia Cinetica: 36.2611
	Massa: 0
Misura #6
	Istante della misura: 301
	Coord (x, y, z): (0.504269, 0.684185, 0.526881)
	Energia Cinetica: 29.2921
	Massa: 0
Misura #7
	Istante della misura: 247
	Coord (x, y, z): (0.215482, 0.449082, 0.867117)
	Energia Cinetica: 45.1632
	Massa: 0
Misura #8
	Istante della misura: 55
	Coord (x, y, z): (0.489466, 0.713367, 0.501528)
	Energia Cinetica: 35.6713
	Massa: 0
Misura #9
	Istante della misura: 228
	Coord (x, y, z): (0.727124, 0.167321, 0.665803)
	Energia Cinetica: 32.9629
	Massa: 0
Misura #10
	Istante della misura: 37
	Coord (x, y, z): (0.650775, 0.452632, 0.609604)
	Energia Cinetica: 28.1781
	Massa: 0
Misura #11
	Istante della misura: 65
	Coord (x, y, z): (0.112943, 0.918001, 0.380156)
	Energia Cinetica: 26.5284
	Massa: 0
Misura #12
	Istante della misura: 179
	Coord (x, y, z): (0.822178, 0.42874, 0.374439)
	Energia Cinetica: 40.1916
	Massa: 0
Misura #13
	Istante della misura: 167
	Coord (x, y, z): (0.432893, 0.327061, 0.840021)
	Energia Cinetica: 34.9138
	Massa: 0
Misura #14
	Istante della misura: 102
	Coord (x, y, z): (0.87249, 0.0127718, 0.488465)
	Energia Cinetica: 38.6501
	Massa: 0
Misura #15
	Istante della misura: 15
	Coord (x, y, z): (0.314987, 0.91302, 0.259185)
	Energia Cinetica: 41.0277
	Massa: 0
Misura #16
	Istante della misura: 189
	Coord (x, y, z): (0.360036, 0.626627, 0.691168)
	Energia Cinetica: 38.8734
	Massa: 0
Misura #17
	Istante della misura: 196
	Coord (x, y, z): (0.810694, 0.206504, 0.547842)
	Energia Cinetica: 32.8046
	Massa: 0
Misura #18
	Istante della misura: 166
	Coord (x, y, z): (0.573639, 0.539051, 0.616736)
	Energia Cinetica: 48.4888
	Massa: 0
Misura #19
	Istante della misura: 333
	Coord (x, y, z): (0.419498, 0.8092, 0.411359)
	Energia Cinetica: 36.1862
	Massa: 0
Misura #20
	Istante della misura: 26
	Coord (x, y, z): (0.123929, 0.946986, 0.29641)
	Energia Cinetica: 42.5138
	Massa: 0
Misura #21
	Istante della misura: 276
	Coord (x, y, z): (0.768999, 0.618411, 0.161889)
	Energia Cinetica: 35.6088
	Massa: 0
Misura #22
	Istante della misura: 113
	Coord (x, y, z): (0.421937, 0.793289, 0.438933)
	Energia Cinetica: 45.169
	Massa: 0
Misura #23
	Istante della misura: 297
	Coord (x, y, z): (0.633625, 0.266113, 0.726432)
	Energia Cinetica: 37.4437
	Massa: 0
Misura #24
	Istante della misura: 254
	Coord (x, y, z): (0.233676, 0.210234, 0.949314)
	Energia Cinetica: 43.2569
	Massa: 0
Misura #25
	Istante della misura: 54
	Coord (x, y, z): (0.833584, 0.503475, 0.227268)
	Energia Cinetica: 31.7705
	Massa: 0
Misura #26
	Istante della misura: 59
	Coord (x, y, z): (0.749329, 0.0682813, 0.658668)
	Energia Cinetica: 36.8187
	Massa: 0
Misura #27
	Istante della misura: 181
	Coord (x, y, z): (0.895297, 0.0953951, 0.435135)
	Energia Cinetica: 48.6451
	Massa: 0
Misura #28
	Istante della misura: 295
	Coord (x, y, z): (0.699422, 0.0264332, 0.71422)
	Energia Cinetica: 31.7776
	Massa: 0
Misura #29
	Istante della misura: 223
	Coord (x, y, z): (0.927785, 0.0118143, 0.372929)
	Energia Cinetica: 36.1016
	Massa: 0
Misura #30
	Istante della misura: 238
	Coord (x, y, z): (0.859858, 0.502913, 0.0878761)
	Energia Cinetica: 28.0837
	Massa: 0
Misura #31
	Istante della misura: 20
	Coord (x, y, z): (0.578177, 0.802633, 0.146602)
	Energia Cinetica: 37.2432
	Massa: 0
Misura #32
	Istante della misura: 74
	Coord (x, y, z): (0.67484, 0.665917, 0.318034)
	Energia Cinetica: 32.2263
	Massa: 0
Misura #33
	Istante della misura: 52
	Coord (x, y, z): (0.671408, 0.684825, 0.28324)
	Energia Cinetica: 35.2511
	Massa: 0
Misura #34
	Istante della misura: 159
	Coord (x, y, z): (0.365176, 0.495741, 0.787964)
	Energia Cinetica: 30.926
	Massa: 0
Misura #35
	Istante della misura: 235
	Coord (x, y, z): (0.506403, 0.642378, 0.575245)
	Energia Cinetica: 39.0862
	Massa: 0
Misura #36
	Istante della misura: 7
	Coord (x, y, z): (0.533587, 0.524092, 0.663786)
	Energia Cinetica: 33.6109
	Massa: 0
Misura #37
	Istante della misura: 289
	Coord (x, y, z): (0.683839, 0.0407665, 0.728493)
	Energia Cinetica: 33.0122
	Massa: 0
Misura #38
	Istante della misura: 190
	Coord (x, y, z): (0.436647, 0.87293, 0.217558)
	Energia Cinetica: 42.5438
	Massa: 0
Misura #39
	Istante della misura: 284
	Coord (x, y, z): (0.766733, 0.0935255, 0.635117)
	Energia Cinetica: 38.1622
	Massa: 0
Misura #40
	Istante della misura: 124
	Coord (x, y, z): (0.798196, 0.459073, 0.390045)
	Energia Cinetica: 38.3347
	Massa: 0
Misura #41
	Istante della misura: 63
	Coord (x, y, z): (0.759301, 0.0667102, 0.647311)
	Energia Cinetica: 43.5619
	Massa: 0
Misura #42
	Istante della misura: 56
	Coord (x, y, z): (0.684048, 0.630218, 0.367292)
	Energia Cinetica: 29.2658
	Massa: 0
Misura #43
	Istante della misura: 150
	Coord (x, y, z): (0.36099, 0.694044, 0.622887)
	Energia Cinetica: 38.3911
	Massa: 0
Misura #44
	Istante della misura: 229
