3	48	26.8213	4	0
5	54	22.9214	2	0
8	90	26.0154	1	0
11	66	25.2074	0	0
22	66	19.0003	4	0
32	72	27.891	3	0
38	60	23.2118	2	0
51	42	25.4945	4	0
56	114	25.7038	2	0
64	54	19.6355	4	0
68	48	22.782	1	0
88	36	26.1977	2	0
91	72	27.8069	1	0
97	54	19.4782	3	0
121	36	14.8367	2	0
125	72	27.5615	2	0
147	54	20.5472	4	0
156	48	19.905	0	0
161	30	19.09	4	0
173	48	24.6005	2	0
179	36	21.1606	0	0
184	72	19.4534	4	0
204	66	22.2566	1	0
220	36	21.582	4	0
228	108	27.5649	3	0
233	54	21.6512	0	0
236	6	23.969	2	0
250	54	24.3624	0	0
275	84	21.9094	4	0
276	18	15.2	4	0
278	30	19.3079	2	0
279	48	23.645	4	0
283	90	23.0655	0	0
287	42	21.2222	3	0
302	6	10.5	4	0
308	102	20.8846	3	0
312	60	23.9334	0	0
320	66	27.8246	4	0
325	102	21.6969	2	0
326	24	19.68	4	0
327	42	19.6386	3	0
329	66	27.2007	4	0
336	84	25.5802	0	0
349	36	25.3834	1	0
353	102	24.841	2	0
359	78	23.3842	4	0
363	12	22.389	3	0
370	66	24.9024	4	0
381	66	18.4463	4	0
387	54	21.425	2	0
391	24	17.1111	4	0
395	42	26.2365	3	0
420	54	18.6202	1	0
433	30	15.2222	0	0
434	72	26.9986	2	0
442	72	27.3034	3	0
445	72	22.2178	2	0
448	36	18.7347	0	0
458	30	18.3277	2	0
477	24	12.4	0	0
482	36	24.362	4	0
486	60	27.4028	1	0
487	72	22.7708	2	0
497	12	28.973	1	0
530	66	24.6957	2	0
