47 		6 		38 		23
128		12		308		26
245		6 		22 		19
345		6 		278		18
128		12		228		26
128		12		38 		22
176		12		56 		27
345		6 		359		19
216		6 		381		17
216		6 		325		21
345		6 		308		19
47 		6 		448		22
102		18		477		20
47 		6 		51 		22
345		6 		359		27
245		6 		308		14
47 		6 		391		17
128		12		173		28
47 		6 		233		25
128		12		279		19
176		12		161		12
128		12		184		19
102		18		336		25
128		12		442		25
176		12		51 		30
216		6 		445		18
345		6 		70 		22
245		6 		530		19
47 		6 		276		16
345		6 		29 		16
176		12		530		29
102		18		336		24
216		6 		88 		26
216		6 		385		23
176		12		70 		24
216		6 		326		28
345		6 		275		23
245		6 		11 		27
128		12		353		25
216		6 		233		19
47 		6 		32 		28
245		6 		56 		28
176		12		8  		29
128		12		448		25
345		6 		381		18
102		18		312		23
176		12		458		18
245		6 		68 		17
176		12		283		21
216		6 		147		15
216		6 		173		20
345		6 		70 		24
176		12		433		23
102		18		121		19
216		6 		477		22
176		12		327		19
47 		6 		320		28
176		12		22 		13
345		6 		97 		19
102		18		387		27
216		6 		32 		29
245		6 		278		19
128		12		448		21
47 		6 		8  		26
345		6 		184		22
102		18		56 		24
176		12		283		24
216		6 		11 		23
176		12		433		18
128		12		363		15
128		12		275		22
176		12		327		15
245		6 		349		24
102		18		482		28
47 		6 		287		26
345		6 		279		20
345		6 		433		23
345		6 		312		23
47 		6 		200		18
128		12		228		29
245		6 		276		24
128		12		458		19
245		6 		278		16
176		12		326		28
102		18		325		25
176		12		121		24
216		6 		353		23
176		12		278		21
102		18		353		25
47 		6 		91 		27
128		12		56 		29
245		6 		487		17
102		18		88 		25
47 		6 		278		13
345		6 		147		19
176		12		487		21
345		6 		279		28
102		18		200		17
102		18		184		15
176		12		8  		27
47 		6 		391		20
216		6 		91 		25
345		6 		387		27
216		6 		308		19
102		18		70 		23
345		6 		173		26
102		18		308		19
345		6 		385		24
345		6 		487		22
47 		6 		326		20
216		6 		482		22
176		12		283		23
345		6 		51 		27
245		6 		124		14
102		18		327		17
102		18		276		17
128		12		276		20
128		12		434		29
345		6 		161		22
345		6 		442		28
128		12		204		23
245		6 		179		23
128		12		97 		19
216		6 		391		21
128		12		70 		20
345		6 		283		24
176		12		51 		24
176		12		5  		27
128		12		442		28
47 		6 		3  		26
176		12		8  		26
176		12		91 		26
128		12		287		25
128		12		391		24
176		12		381		18
345		6 		385		20
47 		6 		308		19
102		18		91 		28
102		18		228		25
128		12		161		14
216		6 		228		29
345		6 		320		29
47 		6 		147		22
128		12		434		28
345		6 		370		22
245		6 		395		24
128		12		70 		17
216		6 		56 		25
245		6 		359		23
102		18		184		18
345		6 		32 		30
216		6 		233		23
102		18		283		23
176		12		420		18
216		6 		173		25
216		6 		482		16
245		6 		370		26
245		6 		445		21
216		6 		486		30
102		18		70 		22
128		12		38 		20
47 		6 		448		24
128		12		279		27
176		12		387		27
47 		6 		125		29
345		6 		308		22
176		12		329		24
47 		6 		353		29
102		18		275		18
245		6 		204		26
128		12		287		27
102		18		161		18
102		18		32 		26
245		6 		220		16
47 		6 		250		21
102		18		325		21
47 		6 		486		27
245		6 		184		18
176		12		325		21
245		6 		64 		20
216		6 		124		14
216		6 		125		29
216		6 		329		24
245		6 		233		19
47 		6 		204		23
102		18		387		29
345		6 		370		25
102		18		487		23
345		6 		32 		25
102		18		385		18
345		6 		381		16
47 		6 		173		22
345		6 		124		17
176		12		336		29
102		18		385		16
128		12		287		24
102		18		38 		26
245		6 		302		21
245		6 		121		22
47 		6 		22 		19
128		12		22 		18
176		12		320		24
176		12		200		15
176		12		22 		22
102		18		370		25
176		12		56 		23
128		12		353		25
47 		6 		11 		30
128		12		458		15
216		6 		173		23
