88 		12		27.062     	2
8  		48		25.225     	1
458		6 		18.098     	1
29 		48		19.982     	4
442		42		27.574     	3
91 		30		28.866     	1
250		48		24.736     	0
487		36		23.241     	1
51 		6 		24.338     	4
125		60		27.3       	2
3  		42		26.924     	4
150		30		18.115     	5
236		6 		23.969     	2
381		48		18.586     	2
204		42		21.543     	1
23 		12		19.895     	6
497		12		28.973     	1
156		48		19.905     	0
477		0 		0          	0
370		30		25.147     	4
121		0 		0          	2
279		12		23.993     	4
320		42		28.525     	4
530		48		24.459     	2
345		60		19.856     	6
147		42		20.559     	3
86 		6 		18.523     	6
482		12		22.809     	3
395		36		26.556     	3
308		48		20.889     	2
11 		48		24.721     	0
359		60		23.489     	4
353		48		24.493     	2
161		6 		18.616     	2
97 		36		19.668     	3
433		0 		0          	0
200		0 		0          	4
287		0 		0          	3
448		0 		0          	0
278		6 		18.762     	0
312		36		24.369     	0
139		12		18.414     	6
387		0 		0          	2
420		42		18.758     	1
184		30		19.97      	3
434		48		26.398     	2
228		60		28.065     	3
68 		48		22.782     	0
32 		30		28.57      	3
349		30		25.614     	1
173		6 		25.252     	2
283		30		23.289     	0
22 		30		18.408     	3
329		48		28.19      	4
275		48		22.87      	4
56 		48		25.63      	2
336		36		25.486     	0
38 		12		23.634     	2
124		42		18.626     	3
326		0 		0          	4
220		36		21.582     	3
385		0 		0          	4
276		0 		0          	2
445		60		22.712     	2
179		30		20.854     	0
325		48		21.187     	2
391		0 		0          	3
302		0 		0          	4
70 		12		23.638     	4
233		30		21.752     	0
64 		48		19.595     	4
363		12		22.389     	2
486		48		27.159     	1
5  		42		22.015     	2
327		30		19.821     	1
