
Punto 1
#######
i)   Total points   = 342
ii)  Descrizione dei punti (t, vx, vy, vz, k): 
92 0.591784 0.389063 0.70599 33.4755 0
280 0.170206 0.984533 0.0415216 33.7762 0
132 0.953417 0.118184 0.27754 40.2231 0
279 0.127423 0.584275 0.80149 40.5432 0
6 0.77111 0.0717733 0.632644 36.2611 0
301 0.504269 0.684185 0.526881 29.2921 0
247 0.215482 0.449082 0.867117 45.1632 0
55 0.489466 0.713367 0.501528 35.6713 0
228 0.727124 0.167321 0.665803 32.9629 0
37 0.650775 0.452632 0.609604 28.1781 0
65 0.112943 0.918001 0.380156 26.5284 0
179 0.822178 0.42874 0.374439 40.1916 0
167 0.432893 0.327061 0.840021 34.9138 0
102 0.87249 0.0127718 0.488465 38.6501 0
15 0.314987 0.91302 0.259185 41.0277 0
189 0.360036 0.626627 0.691168 38.8734 0
196 0.810694 0.206504 0.547842 32.8046 0
166 0.573639 0.539051 0.616736 48.4888 0
333 0.419498 0.8092 0.411359 36.1862 0
26 0.123929 0.946986 0.29641 42.5138 0
276 0.768999 0.618411 0.161889 35.6088 0
113 0.421937 0.793289 0.438933 45.169 0
297 0.633625 0.266113 0.726432 37.4437 0
254 0.233676 0.210234 0.949314 43.2569 0
54 0.833584 0.503475 0.227268 31.7705 0
59 0.749329 0.0682813 0.658668 36.8187 0
181 0.895297 0.0953951 0.435135 48.6451 0
295 0.699422 0.0264332 0.71422 31.7776 0
223 0.927785 0.0118143 0.372929 36.1016 0
238 0.859858 0.502913 0.0878761 28.0837 0
20 0.578177 0.802633 0.146602 37.2432 0
74 0.67484 0.665917 0.318034 32.2263 0
52 0.671408 0.684825 0.28324 35.2511 0
159 0.365176 0.495741 0.787964 30.926 0
235 0.506403 0.642378 0.575245 39.0862 0
7 0.533587 0.524092 0.663786 33.6109 0
289 0.683839 0.0407665 0.728493 33.0122 0
190 0.436647 0.87293 0.217558 42.5438 0
284 0.766733 0.0935255 0.635117 38.1622 0
124 0.798196 0.459073 0.390045 38.3347 0
63 0.759301 0.0667102 0.647311 43.5619 0
56 0.684048 0.630218 0.367292 29.2658 0
150 0.36099 0.694044 0.622887 38.3911 0
229 0.39729 0.434893 0.808102 35.7305 0
145 0.419439 0.875414 0.240253 43.5596 0
76 0.957513 0.129217 0.257821 31.466 0
337 0.218985 0.469612 0.855284 29.6867 0
206 0.819401 0.101733 0.564121 28.1942 0
175 0.259013 0.729843 0.632647 41.1793 0
320 0.474768 0.279097 0.834686 39.1566 0
100 0.355905 0.746856 0.561728 37.1378 0
64 0.829668 0.556871 0.0393085 29.0006 0
68 0.202403 0.179315 0.962746 40.0722 0
126 0.630335 0.419828 0.65301 43.6188 0
296 0.364851 0.0964691 0.926055 31.8723 0
60 0.496737 0.835802 0.233852 32.4988 0
246 0.737467 0.0193835 0.675105 30.8706 0
140 0.81932 0.0242836 0.572821 40.8151 0
120 0.318233 0.933931 0.162791 34.5567 0
312 0.775718 0.447035 0.445445 39.4073 0
116 0.336295 0.460842 0.821298 37.5845 0
21 0.721979 0.619543 0.30808 39.5147 0
122 0.137751 0.79556 0.590008 34.1574 0
162 0.0368731 0.838965 0.542935 26.7198 0
137 0.743329 0.227161 0.629175 34.5301 0
49 0.548419 0.736702 0.395609 33.1992 0
141 0.207005 0.41464 0.886128 32.5981 0
156 0.725838 0.687174 0.0308308 45.5913 0
